   4     0  
   4     4  
   8     4  
   6     0  
   5     1  
   6     2  
   4     2  
   8     0  
   7     1  
   8     2  
   5     3  
   6     4  
   7     3  
   5     0  
 5.5   1.5  
 4.5   1.5  
   7     0  
 7.5   1.5  
 5.5   3.5  
 4.5   2.5  
   7     2  
 5.5   0.5  
   6     1  
   5     2  
 7.5   0.5  
   8     1  
 5.5   2.5  
   6     3  
 7.5   2.5  
   7     4  
 4.5   0.5  
 6.5   1.5  
 6.5   0.5  
 4.5   3.5  
   4     3  
 7.5   3.5  
 6.5   3.5  
 6.5   2.5  
   8     3  
   4     1  
   5     4  
 4.5     0  
5.25  0.75  
 5.5     1  
5.25  1.25  
4.75  1.25  
 6.5     0  
7.25  0.75  
 7.5     1  
7.25  1.25  
6.75  1.25  
 4.5     2  
4.75  2.25  
5.25  2.75  
 5.5     3  
5.25  3.25  
4.25  2.25  
 6.5     2  
7.25  2.75  
7.25  3.25  
6.75  3.25  
4.75  0.25  
5.75  0.25  
4.75  0.75  
5.25  0.25  
   6   0.5  
5.75  1.75  
5.75  0.75  
   5   1.5  
 5.5     2  
4.25  1.75  
5.25  1.75  
 4.5     1  
   4   1.5  
4.25  0.25  
4.25  1.25  
6.75  0.25  
7.75  0.25  
6.75  0.75  
7.25  0.25  
   8   0.5  
7.75  1.75  
7.75  0.75  
   7   1.5  
 7.5     2  
6.25  1.75  
7.25  1.75  
 6.5     1  
   6   1.5  
6.25  0.25  
5.75  2.25  
4.75  2.75  
5.25  2.25  
   6   2.5  
5.75  3.75  
5.75  2.75  
   5   3.5  
 5.5     4  
4.25  3.75  
5.25  3.75  
4.25  2.75  
4.75  3.25  
   4   3.5  
 4.5     3  
6.75  2.25  
7.75  2.25  
6.75  2.75  
7.25  2.25  
 7.5     3  
   8   2.5  
7.75  3.75  
7.75  2.75  
   7   3.5  
 7.5     4  
6.25  3.75  
 6.5     3  
   6   3.5  
6.25  2.25  
   5   0.5  
5.75  1.25  
4.75  1.75  
4.25  0.75  
   7   0.5  
7.75  1.25  
6.75  1.75  
6.25  1.25  
6.25  0.75  
   5   2.5  
5.75  3.25  
4.75  3.75  
4.25  3.25  
   7   2.5  
7.75  3.25  
7.25  3.75  
6.75  3.75  
6.25  3.25  
6.25  2.75  
 5.5     0  
 7.5     0  
   8   1.5  
   8   3.5  
   4   2.5  
   4   0.5  
 6.5     4  
 4.5     4  
4.25     0  
5.25     0  
5.375  0.125  
5.375  0.625  
4.625  0.375  
5.125  0.875  
5.625  0.375  
   6  1.25  
 5.5  1.25  
5.125  1.125  
5.625  1.625  
4.75     2  
4.75   1.5  
4.875  1.125  
4.375  1.625  
   4  0.75  
4.125  0.625  
 4.5  0.75  
6.25     0  
7.25     0  
7.375  0.125  
7.375  0.625  
6.625  0.375  
7.125  0.875  
7.625  0.375  
   8  1.25  
7.875  1.375  
 7.5  1.25  
7.125  1.125  
7.625  1.625  
6.75     2  
6.75   1.5  
6.875  1.125  
6.375  1.625  
   6  0.75  
 6.5  0.75  
4.25     2  
5.25     2  
5.375  2.625  
4.625  2.375  
5.125  2.875  
5.625  2.375  
   6  3.25  
 5.5  3.25  
5.125  3.125  
5.625  3.625  
4.75     4  
4.625  3.875  
4.75   3.5  
4.125  2.125  
4.625  2.625  
4.375  3.625  
4.125  2.875  
6.25     2  
7.25     2  
7.375  2.625  
6.625  2.375  
7.125  2.875  
7.625  2.375  
   8  3.25  
7.875  3.375  
 7.5  3.25  
7.125  3.125  
7.625  3.625  
6.75     4  
6.625  3.875  
6.75   3.5  
6.875  3.125  
6.375  3.625  
   6  2.75  
 6.5  2.75  
4.375  0.125  
4.875  0.125  
4.375  0.375  
4.625  0.125  
5.875  0.125  
5.375  0.375  
5.125  0.625  
4.875  0.875  
4.75   0.5  
   5  0.75  
4.875  0.375  
5.125  0.125  
5.25   0.5  
   5  0.25  
5.25     1  
 5.5  0.75  
5.375  1.375  
5.375  0.875  
5.75   0.5  
   6  0.25  
5.875  0.875  
5.875  0.375  
5.875  1.375  
5.875  1.875  
5.625  1.375  
5.625  1.125  
5.625  0.625  
5.875  1.125  
5.625  0.875  
   5  1.25  
5.25   1.5  
4.625  1.375  
5.125  1.375  
 5.5  1.75  
5.75     2  
5.125  1.875  
5.625  1.875  
4.625  1.875  
4.125  1.875  
4.625  1.625  
4.375  1.875  
4.875  1.625  
5.375  1.625  
4.875  1.875  
5.125  1.625  
4.75     1  
 4.5  1.25  
4.625  0.625  
4.625  1.125  
4.25   1.5  
   4  1.75  
4.125  1.125  
4.125  1.625  
4.125  0.125  
4.375  0.625  
4.375  0.875  
4.375  1.375  
4.125  0.875  
4.375  1.125  
6.375  0.125  
6.875  0.125  
6.375  0.375  
6.625  0.125  
7.875  0.125  
7.375  0.375  
7.125  0.625  
6.875  0.875  
6.75   0.5  
   7  0.75  
6.875  0.375  
7.125  0.125  
7.25   0.5  
   7  0.25  
7.25     1  
 7.5  0.75  
7.375  1.375  
7.375  0.875  
7.75   0.5  
   8  0.25  
7.875  0.875  
7.875  0.375  
7.875  1.875  
7.625  1.375  
7.625  1.125  
7.625  0.625  
7.875  1.125  
7.625  0.875  
   7  1.25  
7.25   1.5  
6.625  1.375  
7.125  1.375  
 7.5  1.75  
7.75     2  
7.125  1.875  
7.625  1.875  
6.625  1.875  
6.125  1.875  
6.625  1.625  
6.375  1.875  
6.875  1.625  
7.375  1.625  
6.875  1.875  
7.125  1.625  
6.75     1  
 6.5  1.25  
6.625  0.625  
6.625  1.125  
6.25   1.5  
   6  1.75  
6.125  1.125  
6.125  1.625  
6.125  0.625  
6.125  0.125  
6.375  0.625  
6.125  0.375  
6.375  0.875  
6.375  1.375  
6.125  0.875  
6.375  1.125  
4.375  2.125  
4.875  2.125  
4.375  2.375  
4.625  2.125  
5.375  2.125  
5.875  2.125  
5.375  2.375  
5.625  2.125  
5.125  2.625  
4.875  2.875  
4.75   2.5  
   5  2.75  
4.875  2.375  
5.125  2.125  
5.25   2.5  
   5  2.25  
5.25     3  
 5.5  2.75  
5.375  3.375  
5.375  2.875  
5.75   2.5  
   6  2.25  
5.875  2.875  
5.875  2.375  
5.875  3.375  
5.875  3.875  
5.625  3.375  
5.625  3.125  
5.625  2.625  
5.875  3.125  
5.625  2.875  
   5  3.25  
5.25   3.5  
4.625  3.375  
5.125  3.375  
 5.5  3.75  
5.75     4  
5.125  3.875  
5.625  3.875  
4.125  3.875  
4.625  3.625  
4.875  3.625  
5.375  3.625  
4.875  3.875  
5.125  3.625  
4.125  2.375  
4.375  2.625  
   4  2.75  
4.25   2.5  
4.625  2.875  
4.875  3.125  
 4.5  3.25  
4.75     3  
4.25   3.5  
   4  3.75  
4.125  3.125  
4.125  3.625  
4.25     3  
 4.5  2.75  
4.375  3.375  
4.375  2.875  
6.375  2.125  
6.875  2.125  
6.375  2.375  
6.625  2.125  
7.375  2.125  
7.875  2.125  
7.375  2.375  
7.625  2.125  
7.125  2.625  
6.875  2.875  
6.75   2.5  
   7  2.75  
6.875  2.375  
7.125  2.125  
7.25   2.5  
   7  2.25  
7.25     3  
 7.5  2.75  
7.375  3.375  
7.375  2.875  
7.75   2.5  
   8  2.25  
7.875  2.875  
7.875  2.375  
7.875  3.875  
7.625  3.375  
7.625  3.125  
7.625  2.625  
7.875  3.125  
7.625  2.875  
   7  3.25  
7.25   3.5  
6.625  3.375  
7.125  3.375  
 7.5  3.75  
7.75     4  
7.125  3.875  
7.625  3.875  
6.125  3.875  
6.625  3.625  
6.875  3.625  
7.375  3.625  
6.875  3.875  
7.125  3.625  
6.75     3  
 6.5  3.25  
6.625  2.625  
6.625  3.125  
6.25   3.5  
   6  3.75  
6.125  3.125  
6.125  3.625  
6.125  2.625  
6.125  2.125  
6.375  2.625  
6.125  2.375  
6.375  2.875  
6.375  3.375  
6.125  2.875  
6.375  3.125  
 4.5  0.25  
5.625  0.125  
 5.5  0.25  
4.875  0.625  
5.125  0.375  
5.375  1.125  
5.875  0.625  
5.875  1.625  
5.75   1.5  
5.75     1  
4.875  1.375  
5.375  1.875  
 4.5  1.75  
   5  1.75  
4.625  0.875  
4.125  1.375  
4.125  0.375  
4.25   0.5  
4.25     1  
 6.5  0.25  
7.625  0.125  
 7.5  0.25  
6.875  0.625  
7.125  0.375  
7.375  1.125  
7.875  0.625  
7.875  1.625  
7.75   1.5  
7.75     1  
6.875  1.375  
7.375  1.875  
 6.5  1.75  
   7  1.75  
6.625  0.875  
6.125  1.375  
6.25   0.5  
6.25     1  
 4.5  2.25  
 5.5  2.25  
4.875  2.625  
5.125  2.375  
5.375  3.125  
5.875  2.625  
5.875  3.625  
5.75   3.5  
5.75     3  
4.875  3.375  
5.375  3.875  
4.375  3.875  
 4.5  3.75  
   5  3.75  
4.125  2.625  
4.625  3.125  
4.125  3.375  
4.375  3.125  
 6.5  2.25  
 7.5  2.25  
6.875  2.625  
7.125  2.375  
7.375  3.125  
7.875  2.625  
7.875  3.625  
7.75   3.5  
7.75     3  
6.875  3.375  
7.375  3.875  
6.375  3.875  
 6.5  3.75  
   7  3.75  
6.625  2.875  
6.125  3.375  
6.25   2.5  
6.25     3  
4.75     0  
5.75     0  
6.75     0  
7.75     0  
   8  0.75  
   8  1.75  
   8  2.75  
   8  3.75  
   4  3.25  
   4  2.25  
   4  1.25  
   4  0.25  
7.25     4  
6.25     4  
5.25     4  
4.25     4  

