1  146  270  
146  42  217  
217  75  270  
270  146  217  
42  530  220  
530  14  218  
218  62  220  
220  530  218  
62  150  457  
150  31  219  
219  75  457  
457  150  219  
75  217  457  
217  42  220  
220  62  457  
457  217  220  
14  147  228  
147  138  148  
148  65  228  
228  147  148  
138  531  458  
531  4  221  
221  63  458  
458  531  221  
63  152  459  
152  22  222  
222  65  459  
459  152  222  
65  148  459  
148  138  458  
458  63  459  
459  148  458  
22  149  229  
149  43  223  
223  119  229  
229  149  223  
43  151  226  
151  5  224  
224  64  226  
226  151  224  
64  264  460  
264  31  225  
225  119  460  
460  264  225  
119  223  460  
223  43  226  
226  64  460  
460  223  226  
31  150  225  
150  62  227  
227  119  225  
225  150  227  
62  218  230  
218  14  228  
228  65  230  
230  218  228  
65  222  461  
222  22  229  
229  119  461  
461  222  229  
119  227  461  
227  62  230  
230  65  461  
461  227  230  
5  151  155  
151  43  231  
231  45  155  
155  151  231  
43  149  234  
149  22  232  
232  44  234  
234  149  232  
44  154  462  
154  15  233  
233  45  462  
462  154  233  
45  231  462  
231  43  234  
234  44  462  
462  231  234  
22  152  243  
152  63  235  
235  68  243  
243  152  235  
63  221  238  
221  4  236  
236  66  238  
238  221  236  
66  180  463  
180  23  237  
237  68  463  
463  180  237  
68  235  463  
235  63  238  
238  66  463  
463  235  238  
23  153  244  
153  89  239  
239  120  244  
244  153  239  
89  325  464  
325  6  240  
240  67  464  
464  325  240  
67  156  465  
156  15  241  
241  120  465  
465  156  241  
120  239  465  
239  89  464  
464  67  465  
465  239  464  
15  154  241  
154  44  242  
242  120  241  
241  154  242  
44  232  245  
232  22  243  
243  68  245  
245  232  243  
68  237  466  
237  23  244  
244  120  466  
466  237  244  
120  242  466  
242  44  245  
245  68  466  
466  242  245  
5  155  159  
155  45  246  
246  46  159  
159  155  246  
45  233  249  
233  15  247  
247  69  249  
249  233  247  
69  158  467  
158  16  248  
248  46  467  
467  158  248  
46  246  467  
246  45  249  
249  69  467  
467  246  249  
15  156  259  
156  67  250  
250  72  259  
259  156  250  
67  240  253  
240  6  251  
251  70  253  
253  240  251  
70  183  468  
183  24  252  
252  72  468  
468  183  252  
72  250  468  
250  67  253  
253  70  468  
468  250  253  
24  157  260  
157  52  254  
254  121  260  
260  157  254  
52  182  257  
182  7  255  
255  71  257  
257  182  255  
71  160  469  
160  16  256  
256  121  469  
469  160  256  
121  254  469  
254  52  257  
257  71  469  
469  254  257  
16  158  256  
158  69  258  
258  121  256  
256  158  258  
69  247  261  
247  15  259  
259  72  261  
261  247  259  
72  252  470  
252  24  260  
260  121  470  
470  252  260  
121  258  470  
258  69  261  
261  72  470  
470  258  261  
5  159  224  
159  46  262  
262  64  224  
224  159  262  
46  248  265  
248  16  263  
263  73  265  
265  248  263  
73  163  471  
163  31  264  
264  64  471  
471  163  264  
64  262  471  
262  46  265  
265  73  471  
471  262  265  
16  160  273  
160  71  266  
266  76  273  
273  160  266  
71  255  269  
255  7  267  
267  74  269  
269  255  267  
74  540  472  
540  40  268  
268  76  472  
472  540  268  
76  266  472  
266  71  269  
269  74  472  
472  266  269  
40  161  274  
161  143  162  
162  122  274  
274  161  162  
143  541  473  
541  1  270  
270  75  473  
473  541  270  
75  219  474  
219  31  271  
271  122  474  
474  219  271  
122  162  474  
162  143  473  
473  75  474  
474  162  473  
31  163  271  
163  73  272  
272  122  271  
271  163  272  
73  263  275  
263  16  273  
273  76  275  
275  263  273  
76  268  475  
268  40  274  
274  122  475  
475  268  274  
122  272  475  
272  73  275  
275  76  475  
475  272  275  
4  164  329  
164  47  276  
276  90  329  
329  164  276  
47  532  279  
532  17  277  
277  77  279  
279  532  277  
77  168  476  
168  33  278  
278  90  476  
476  168  278  
90  276  476  
276  47  279  
279  77  476  
476  276  279  
17  165  287  
165  139  166  
166  80  287  
287  165  166  
139  533  477  
533  8  280  
280  78  477  
477  533  280  
78  170  478  
170  25  281  
281  80  478  
478  170  281  
80  166  478  
166  139  477  
477  78  478  
478  166  477  
25  167  288  
167  48  282  
282  123  288  
288  167  282  
48  169  285  
169  9  283  
283  79  285  
285  169  283  
79  322  479  
322  33  284  
284  123  479  
479  322  284  
123  282  479  
282  48  285  
285  79  479  
479  282  285  
33  168  284  
168  77  286  
286  123  284  
284  168  286  
77  277  289  
277  17  287  
287  80  289  
289  277  287  
80  281  480  
281  25  288  
288  123  480  
480  281  288  
123  286  480  
286  77  289  
289  80  480  
480  286  289  
9  169  174  
169  48  290  
290  50  174  
174  169  290  
48  167  293  
167  25  291  
291  49  293  
293  167  291  
49  173  481  
173  18  292  
292  50  481  
481  173  292  
50  290  481  
290  48  293  
293  49  481  
481  290  293  
25  170  301  
170  78  294  
294  83  301  
301  170  294  
78  280  297  
280  8  295  
295  81  297  
297  280  295  
81  534  482  
534  26  296  
296  83  482  
482  534  296  
83  294  482  
294  78  297  
297  81  482  
482  294  297  
26  171  302  
171  140  172  
172  124  302  
302  171  172  
140  535  483  
535  10  298  
298  82  483  
483  535  298  
82  175  484  
175  18  299  
299  124  484  
484  175  299  
124  172  484  
172  140  483  
483  82  484  
484  172  483  
18  173  299  
173  49  300  
300  124  299  
299  173  300  
49  291  303  
291  25  301  
301  83  303  
303  291  301  
83  296  485  
296  26  302  
302  124  485  
485  296  302  
124  300  485  
300  49  303  
303  83  485  
485  300  303  
9  174  178  
174  50  304  
304  51  178  
178  174  304  
50  292  307  
292  18  305  
305  84  307  
307  292  305  
84  177  486  
177  32  306  
306  51  486  
486  177  306  
51  304  486  
304  50  307  
307  84  486  
486  304  307  
18  175  317  
175  82  308  
308  87  317  
317  175  308  
82  298  311  
298  10  309  
309  85  311  
311  298  309  
85  200  487  
200  21  310  
310  87  487  
487  200  310  
87  308  487  
308  82  311  
311  85  487  
487  308  311  
21  176  318  
176  58  312  
312  125  318  
318  176  312  
58  199  315  
199  6  313  
313  86  315  
315  199  313  
86  179  488  
179  32  314  
314  125  488  
488  179  314  
125  312  488  
312  58  315  
315  86  488  
488  312  315  
32  177  314  
177  84  316  
316  125  314  
314  177  316  
84  305  319  
305  18  317  
317  87  319  
319  305  317  
87  310  489  
310  21  318  
318  125  489  
489  310  318  
125  316  489  
316  84  319  
319  87  489  
489  316  319  
9  178  283  
178  51  320  
320  79  283  
283  178  320  
51  306  323  
306  32  321  
321  88  323  
323  306  321  
88  181  490  
181  33  322  
322  79  490  
490  181  322  
79  320  490  
320  51  323  
323  88  490  
490  320  323  
32  179  333  
179  86  324  
324  126  333  
333  179  324  
86  313  327  
313  6  325  
325  89  327  
327  313  325  
89  153  491  
153  23  326  
326  126  491  
491  153  326  
126  324  491  
324  86  327  
327  89  491  
491  324  327  
23  180  334  
180  66  328  
328  127  334  
334  180  328  
66  236  331  
236  4  329  
329  90  331  
331  236  329  
90  278  492  
278  33  330  
330  127  492  
492  278  330  
127  328  492  
328  66  331  
331  90  492  
492  328  331  
33  181  330  
181  88  332  
332  127  330  
330  181  332  
88  321  335  
321  32  333  
333  126  335  
335  321  333  
126  326  493  
326  23  334  
334  127  493  
493  326  334  
127  332  493  
332  88  335  
335  126  493  
493  332  335  
7  182  195  
182  52  336  
336  57  195  
195  182  336  
52  157  339  
157  24  337  
337  53  339  
339  157  337  
53  185  494  
185  20  338  
338  57  494  
494  185  338  
57  336  494  
336  52  339  
339  53  494  
494  336  339  
24  183  349  
183  70  340  
340  93  349  
349  183  340  
70  251  343  
251  6  341  
341  91  343  
343  251  341  
91  187  495  
187  27  342  
342  93  495  
495  187  342  
93  340  495  
340  70  343  
343  91  495  
495  340  343  
27  184  350  
184  54  344  
344  128  350  
350  184  344  
54  186  347  
186  11  345  
345  92  347  
347  186  345  
92  196  496  
196  20  346  
346  128  496  
496  196  346  
128  344  496  
344  54  347  
347  92  496  
496  344  347  
20  185  346  
185  53  348  
348  128  346  
346  185  348  
53  337  351  
337  24  349  
349  93  351  
351  337  349  
93  342  497  
342  27  350  
350  128  497  
497  342  350  
128  348  497  
348  53  351  
351  93  497  
497  348  351  
11  186  190  
186  54  352  
352  56  190  
190  186  352  
54  184  355  
184  27  353  
353  55  355  
355  184  353  
55  189  498  
189  19  354  
354  56  498  
498  189  354  
56  352  498  
352  54  355  
355  55  498  
498  352  355  
27  187  364  
187  91  356  
356  96  364  
364  187  356  
91  341  359  
